SUID,@id,Betweenness,Closeness,Degree,Eigenvector,Information,LAC,name,Network,selected,shared name,stringdb::canonical name,stringdb::full name,Subgragh,
77,stringdb:9606.ENSP00000306512,2378.151154,0.063353676,116,0.125806347,8.928096771,43.5862069,9606.ENSP00000306512,80.81570679,FALSE,9606.ENSP00000306512,Q9UCR9,,5.20E+27,0.623756017
377,stringdb:9606.ENSP00000346839,2835.504112,0.06333527,110,0.120695114,8.891591072,42.29090909,9606.ENSP00000346839,73.84669784,FALSE,9606.ENSP00000346839,H0Y4K8,,4.79E+27,0.617653702
446,stringdb:9606.ENSP00000263341,3519.608208,0.063215891,106,0.114893243,8.865163803,40.86792453,9606.ENSP00000263341,69.6080549,FALSE,9606.ENSP00000263341,P01584,,4.34E+27,0.617087681
93,stringdb:9606.ENSP00000212015,3919.325031,0.063427408,109,0.106334135,8.885156631,34.20183486,9606.ENSP00000212015,61.96261362,FALSE,9606.ENSP00000212015,Q96EB6,,3.72E+27,0.616829918
166,stringdb:9606.ENSP00000306245,1841.349579,0.063197565,106,0.119826779,8.865163803,42.18867925,9606.ENSP00000306245,69.78725127,FALSE,9606.ENSP00000306245,P01100,,4.72E+27,0.591282985
381,stringdb:9606.ENSP00000361405,1204.318491,0.06314265,108,0.124156632,8.878601074,45.46296296,9606.ENSP00000361405,75.70725154,FALSE,9606.ENSP00000361405,P14780,,5.07E+27,0.587429814
460,stringdb:9606.ENSP00000363089,1923.645184,0.063160945,107,0.11527922,8.871939659,41.06542056,9606.ENSP00000363089,71.77754353,FALSE,9606.ENSP00000363089,Q5VZI8,,4.37E+27,0.587267022
100,stringdb:9606.ENSP00000227507,1153.099712,0.063179249,110,0.120763123,8.891590118,42.67272727,9606.ENSP00000227507,75.29398224,FALSE,9606.ENSP00000227507,P24385,,4.80E+27,0.584023343
81,stringdb:9606.ENSP00000256078,1656.013692,0.063069579,104,0.107597761,8.851259232,37.63461538,9606.ENSP00000256078,66.65186234,FALSE,9606.ENSP00000256078,P01116,,3.81E+27,0.566530248
197,stringdb:9606.ENSP00000225831,1189.036765,0.063124367,98,0.110607766,8.806475639,42.75510204,9606.ENSP00000225831,67.82192211,FALSE,9606.ENSP00000225831,P13500,,4.02E+27,0.554545921
